index,label,test_support,correct,per_class_accuracy,independent_real_tested
184,diglett-alola,4,4,1.0,True
185,dipplin,4,4,1.0,True
186,ditto,4,4,1.0,True
187,dodrio,4,3,0.75,True
188,doduo,4,4,1.0,True
189,dolliv,4,4,1.0,True
190,dondozo,4,4,1.0,True
191,donphan,4,4,1.0,True
192,dottler,4,4,1.0,True
193,dracovish,4,4,1.0,True
194,dracozolt,4,4,1.0,True
195,dragapult,4,4,1.0,True
196,dragonair,4,4,1.0,True
197,drakloak,4,3,0.75,True
198,dratini,4,4,1.0,True
199,drednaw,4,3,0.75,True
200,dreepy,4,2,0.5,True
201,drifblim,4,4,1.0,True
202,drifloon,4,3,0.75,True
203,drizzile,4,3,0.75,True
204,dubwool,4,4,1.0,True
205,ducklett,4,2,0.5,True
206,dudunsparce,4,4,1.0,True
207,dudunsparce-three-segment,4,4,1.0,True
208,dugtrio-alola,4,4,1.0,True
209,dunsparce,4,4,1.0,True
210,duosion,4,4,1.0,True
211,duraludon,4,4,1.0,True
212,durant,4,4,1.0,True
213,dustox,4,4,1.0,True
214,eevee,4,4,1.0,True
215,eevee-starter,4,4,1.0,True
216,eiscue-ice,4,3,0.75,True
217,eiscue-noice,4,4,1.0,True
218,eldegoss,4,4,1.0,True
219,electabuzz,4,3,0.75,True
220,electivire,4,4,1.0,True
221,electrike,4,4,1.0,True
222,electrode,4,4,1.0,True
223,electrode-hisui,4,4,1.0,True
224,elekid,4,4,1.0,True
225,emboar,4,4,1.0,True
226,emolga,4,4,1.0,True
227,empoleon,4,3,0.75,True
228,enamorus-incarnate,4,4,1.0,True
229,entei,4,4,1.0,True
230,espathra,4,4,1.0,True
231,espeon,4,4,1.0,True
232,espurr,4,4,1.0,True
233,eternatus,4,4,1.0,True
234,exeggcute,4,4,1.0,True
235,exeggutor,4,4,1.0,True
236,exeggutor-alola,4,4,1.0,True
237,exploud,4,4,1.0,True
238,falinks,4,4,1.0,True
239,farfetchd,4,4,1.0,True
240,farfetchd-galar,4,4,1.0,True
241,farigiraf,4,3,0.75,True
242,fennekin,4,4,1.0,True
243,fezandipiti,4,4,1.0,True
244,fidough,4,4,1.0,True
245,finizen,4,1,0.25,True
246,flaaffy,4,4,1.0,True
247,flabebe,4,4,1.0,True
248,flabebe-blue,0,0,,False
249,flabebe-orange,0,0,,False
250,flabebe-white,0,0,,False
251,flabebe-yellow,0,0,,False
252,flamigo,4,4,1.0,True
253,flapple,4,4,1.0,True
254,fletchinder,4,4,1.0,True
255,fletchling,4,4,1.0,True
256,flittle,4,3,0.75,True
257,floatzel,4,4,1.0,True
258,floette,4,2,0.5,True
259,floette-blue,0,0,,False
260,floette-orange,0,0,,False
261,floette-white,0,0,,False
262,floette-yellow,0,0,,False
263,floragato,4,4,1.0,True
264,florges,4,4,1.0,True
265,florges-blue,0,0,,False
266,florges-orange,0,0,,False
267,florges-white,0,0,,False
268,florges-yellow,0,0,,False
269,flutter-mane,4,4,1.0,True
270,flygon,4,4,1.0,True
271,fomantis,4,4,1.0,True
272,foongus,4,4,1.0,True
273,forretress,4,4,1.0,True
274,fraxure,4,4,1.0,True
275,frigibax,4,4,1.0,True
276,froakie,4,4,1.0,True
277,frogadier,4,4,1.0,True
278,froslass,4,2,0.5,True
279,frosmoth,4,2,0.5,True
280,fuecoco,4,4,1.0,True
281,furfrou,4,3,0.75,True
282,furfrou-dandy,0,0,,False
283,furfrou-debutante,0,0,,False
284,furfrou-diamond,0,0,,False
285,furfrou-heart,0,0,,False
286,furfrou-kabuki,0,0,,False
287,furfrou-la-reine,0,0,,False
288,furfrou-matron,0,0,,False
289,furfrou-pharaoh,0,0,,False
290,furfrou-star,0,0,,False
291,gabite,4,3,0.75,True
292,gallade,4,4,1.0,True
293,garchomp,4,4,1.0,True
294,gardevoir,4,4,1.0,True
295,garganacl,4,4,1.0,True
296,gastrodon,4,3,0.75,True
297,gastrodon-east,0,0,,False
298,gholdengo,4,3,0.75,True
299,gible,4,4,1.0,True
300,gimmighoul,4,4,1.0,True
301,gimmighoul-roaming,4,4,1.0,True
302,girafarig,4,3,0.75,True
303,glaceon,4,1,0.25,True
304,glameow,4,4,1.0,True
305,glastrier,4,4,1.0,True
306,gligar,4,4,1.0,True
307,glimmet,4,4,1.0,True
308,glimmora,4,4,1.0,True
309,gloom,4,4,1.0,True
310,gogoat,4,4,1.0,True
311,golduck,4,4,1.0,True
312,goodra,4,3,0.75,True
313,goodra-hisui,4,4,1.0,True
314,goomy,4,4,1.0,True
315,gorebyss,4,4,1.0,True
316,gossifleur,4,4,1.0,True
317,gothita,4,4,1.0,True
